unified_id,stellar_id,disposition,orbital_period_days,transit_duration_hr,transit_depth_ppm,planet_radius_rearth,equilibrium_temp_k,insolation_flux_earth,stellar_teff_k,stellar_radius_rsun,stellar_logg_cgs,magnitude,mission
2064.01,115524421,CONFIRMED,8.8036803,2.997,8360.0,8.9006,813.0,72.699,5701.0,0.94,4.47,11.5906,TESS
2065.01,356710041,CANDIDATE,,12.5551812,1341.1309509,10.443271,1105.1977778,352.5989492,5701.43,2.7564499,3.56597,9.0024,TESS
2066.01,141663460,FALSE_POSITIVE,1.76442,2.749,8800.0,23.0,3189.0,17176.2,9277.7,2.26,,8.522,TESS
2067.01,147951030,CANDIDATE,8.8128067,2.325,787.0,2.33219,749.0,52.4568,5491.0,0.88,4.5359,10.4547,TESS
2068.01,417931300,CONFIRMED,7.7690887,2.6251447,1416.7912077,2.3663308,481.070845,12.6577686,3700.0,0.542573,4.70036,11.1806,TESS
2069.01,198187049,CANDIDATE,5.9214229,2.4606208,140.4285921,1.0470381,847.8110943,122.1004834,5268.0,0.823126,4.56138,7.9726,TESS
207.01,260271203,FALSE_POSITIVE,5.6492853,4.0424046,44346.559983,26.5608527,1144.213679,405.0881542,5963.0,1.21025,4.31132,13.4734,TESS
2070.01,233182695,CANDIDATE,6.3839247,1.5808909,358.7464972,2.2843976,1062.7584328,301.4805095,5849.0,1.16353,4.33017,9.74428,TESS
2071.01,198360694,CANDIDATE,5.6739336,2.8074156,641.2779235,2.587582,1029.3310585,265.3024804,5873.3,1.00286,4.46212,11.04,TESS
2072.01,900715901,CANDIDATE,3.167981,1.352,970.0,,661.0,31.7519,3546.0,,4.93943,11.6434,TESS
2073.01,441642457,CANDIDATE,53.1991439,6.2024225,591.4602835,2.8396233,514.56613,16.568599,5729.0,1.15632,4.32178,9.45253,TESS
2074.01,158075010,CANDIDATE,177.5830512,4.7901443,456.0908234,3.5953731,443.7085028,9.1603487,6594.0,1.59978,4.16825,8.38689,TESS
2075.01,23814735,CANDIDATE,4.7981694,2.1425123,1051.0675882,2.3133532,669.0065237,47.3415434,4065.0,0.667797,4.59496,11.1345,TESS
2076.01,27491137,CONFIRMED,10.3563596,3.4814933,923.942127,2.4103206,671.7367777,48.1191014,5149.6,0.772148,4.6,8.3745,TESS
2076.02,27491137,CONFIRMED,35.1257472,2.839,2066.0,3.17021,388.0,3.78846,5149.6,0.77,4.6,8.3745,TESS
2076.03,27491137,CONFIRMED,21.0153047,4.315,2072.0,3.78219,641.0,28.033,5149.6,0.77,4.6,8.3745,TESS
2077.01,230075227,CANDIDATE,6.1155829,1.941,322.0,1.56167,979.0,152.993,5284.0,0.85,4.54246,9.7807,TESS
2078.01,159244568,FALSE_POSITIVE,6.2772478,1.5325014,910.5215536,2.5385441,816.9663784,105.278027,5244.0,0.800741,4.58339,11.0372,TESS
2079.01,224298134,CANDIDATE,1.4923179,1.1558314,669.71826,1.2607994,773.6710387,84.6732757,3577.0,0.480553,4.75448,10.8515,TESS
2079.02,224298134,CANDIDATE,9.3174113,1.7011801,1790.5546209,2.0623382,420.1570972,7.3649163,3577.0,0.480553,4.75448,10.8515,TESS
208.01,314865962,CANDIDATE,22.4586196,7.1989719,445.0003089,2.1229458,615.4050768,33.8973151,5493.0,0.978381,4.43001,10.3539,TESS
2080.01,367739494,CANDIDATE,63.5809449,3.6561358,1446.5029644,3.0597346,339.8006415,3.1507778,4868.0,0.72252,4.61964,11.4547,TESS
2081.01,321669174,CONFIRMED,10.5054362,2.4850401,1320.6016253,1.947929,432.3359777,8.2567001,3742.0,0.515547,4.72382,11.642,TESS
2081.02,321669174,CANDIDATE,5.1097197,1.6354976,540.1814411,1.3996848,549.743853,21.5855207,3742.0,0.515547,4.72382,11.642,TESS
2082.01,160039081,CANDIDATE,30.2004765,4.517,520.0,2.6056,668.0,33.1236,6004.0,1.15,4.36245,7.8206,TESS
2083.01,233633993,CANDIDATE,17.969639,4.238817,1231.0381518,3.0570342,494.7274115,14.1574455,4410.0,0.767286,4.507,11.8737,TESS
2084.01,441738827,CONFIRMED,6.0784031,2.117,1810.0,2.07448,554.0,15.739,3630.0,0.47,4.76664,13.3257,TESS
2084.02,441738827,FALSE_POSITIVE,8.1490285,2.3210553,2850.6795113,2.5781465,441.633629,8.990204,3630.0,0.466766,4.76664,13.3257,TESS
2085.01,103633672,CANDIDATE,,6.7940415,1885.160909,3.4610442,277.6606693,1.4046835,5134.0,0.799051,4.57244,9.8499,TESS
2086.01,230387153,CANDIDATE,41.7540004,4.491,820.0,2.75297,468.0,7.9761,5337.0,0.91,4.48036,11.316,TESS
